IDCLIENTE,EVOLUCION_LCR,DIAS_MORA,COMPORT_INTERNO,ACTIVIDAD,EST_CIVIL,EDAD,RENTA,SEXO,TIPO_VIVIENDA,Salario_Anual
954,Aumenta Cupo,51,Buen Cliente,Dependiente,Casado,47,11590,F,Arrienda, $ 57.950.000 
1953,Aumenta Cupo,60,Buen Cliente,Dependiente,Casado,47,11590,F,Arrienda, $ 57.950.000 
836,Mantiene Cupo,24,Buen Cliente,Dependiente,Soltero,45,11560,F,Arrienda, $ 57.800.000 
1835,Mantiene Cupo,24,Buen Cliente,Dependiente,Soltero,45,11560,F,Arrienda, $ 57.800.000 
844,Mantiene Cupo,24,Buen Cliente,Independiente,Soltero,48,11328,M,Propia, $ 56.640.000 
1843,Mantiene Cupo,24,Buen Cliente,Independiente,Soltero,48,11328,M,Propia, $ 56.640.000 
729,Aumenta Cupo,36,Buen Cliente,Dependiente,Soltero,46,11054,M,Propia, $ 55.270.000 
1728,Aumenta Cupo,36,Buen Cliente,Dependiente,Soltero,46,11054,M,Propia, $ 55.270.000 
522,Aumenta Cupo,62,Buen Cliente,Dependiente,Casado,43,10974,F,Arrienda, $ 54.870.000 
1521,Aumenta Cupo,36,Buen Cliente,Dependiente,Casado,43,10974,F,Arrienda, $ 54.870.000 
821,Mantiene Cupo,0,Buen Cliente,Dependiente,Casado,47,10961,M,Propia, $ 54.805.000 
1820,Mantiene Cupo,48,Buen Cliente,Dependiente,Casado,47,10961,M,Propia, $ 54.805.000 
64,Aumenta Cupo,36,Buen Cliente,Independiente,Soltero,48,10875,M,Propia, $ 54.375.000 
1063,Aumenta Cupo,36,Buen Cliente,Independiente,Soltero,48,10875,M,Propia, $ 54.375.000 
1218,Disminuye Cupo,65,Mal Cliente,Independiente,Casado,52,10722,F,Arrienda, $ 53.610.000 
219,Disminuye Cupo,34,Mal Cliente,Independiente,Casado,52,10722,F,Arrienda, $ 53.610.000 
617,Disminuye Cupo,30,Mal Cliente,Dependiente,Soltero,43,10623,M,Propia, $ 53.115.000 
1616,Disminuye Cupo,30,Mal Cliente,Dependiente,Soltero,43,10623,M,Propia, $ 53.115.000 
356,Aumenta Cupo,36,Buen Cliente,Dependiente,Soltero,44,10477,M,Propia, $ 52.385.000 
1355,Aumenta Cupo,36,Buen Cliente,Dependiente,Soltero,44,10477,M,Propia, $ 52.385.000 
242,Aumenta Cupo,60,Mal Cliente,Independiente,Soltero,46,10366,M,Propia, $ 51.830.000 
1241,Aumenta Cupo,2,Mal Cliente,Independiente,Soltero,46,10366,M,Propia, $ 51.830.000 
929,Disminuye Cupo,60,Buen Cliente,Dependiente,Casado,48,10297,M,Propia, $ 51.485.000 
1928,Disminuye Cupo,45,Buen Cliente,Dependiente,Casado,48,10297,M,Propia, $ 51.485.000 
570,Aumenta Cupo,33,Mal Cliente,Dependiente,Soltero,47,10222,M,Propia, $ 51.110.000 
1569,Aumenta Cupo,2,Mal Cliente,Dependiente,Soltero,47,10222,M,Propia, $ 51.110.000 
691,Aumenta Cupo,0,Buen Cliente,Dependiente,Casado,51,10144,F,Arrienda, $ 50.720.000 
1690,Aumenta Cupo,0,Buen Cliente,Dependiente,Casado,51,10144,F,Arrienda, $ 50.720.000 
941,Aumenta Cupo,37,Buen Cliente,Independiente,Casado,48,10127,M,Propia, $ 50.635.000 
1940,Aumenta Cupo,55,Buen Cliente,Independiente,Casado,48,10127,M,Propia, $ 50.635.000 
1965,Mantiene Cupo,48,Buen Cliente,Dependiente,Casado,46,9960,F,Arrienda, $ 49.800.000 
966,Mantiene Cupo,46,Buen Cliente,Dependiente,Casado,46,9960,F,Arrienda, $ 49.800.000 
1821,Disminuye Cupo,36,Buen Cliente,Dependiente,Casado,56,9887,M,Propia, $ 49.435.000 
567,Mantiene Cupo,36,Buen Cliente,Independiente,Soltero,41,9857,M,Propia, $ 49.285.000 
1566,Mantiene Cupo,36,Buen Cliente,Independiente,Soltero,41,9857,M,Propia, $ 49.285.000 
892,Disminuye Cupo,36,Buen Cliente,Dependiente,Casado,46,9629,M,Propia, $ 48.145.000 
1891,Disminuye Cupo,36,Buen Cliente,Dependiente,Casado,46,9629,M,Propia, $ 48.145.000 
874,Aumenta Cupo,36,Buen Cliente,Independiente,Casado,46,9572,M,Arrienda, $ 47.860.000 
1873,Aumenta Cupo,36,Buen Cliente,Independiente,Casado,46,9572,M,Arrienda, $ 47.860.000 
526,Aumenta Cupo,36,Buen Cliente,Dependiente,Soltero,43,9566,F,Arrienda, $ 47.830.000 
1525,Aumenta Cupo,36,Buen Cliente,Dependiente,Soltero,43,9566,F,Arrienda, $ 47.830.000 
310,Aumenta Cupo,54,Mal Cliente,Dependiente,Casado,43,9436,M,Propia, $ 47.180.000 
1309,Aumenta Cupo,54,Mal Cliente,Dependiente,Casado,43,9436,M,Propia, $ 47.180.000 
868,Mantiene Cupo,36,Buen Cliente,Dependiente,Soltero,42,9398,F,Propia, $ 46.990.000 
1867,Mantiene Cupo,36,Buen Cliente,Dependiente,Soltero,42,9398,F,Propia, $ 46.990.000 
731,Mantiene Cupo,42,Mal Cliente,Dependiente,Casado,46,9283,M,Propia, $ 46.415.000 
1730,Mantiene Cupo,42,Mal Cliente,Dependiente,Casado,46,9283,M,Propia, $ 46.415.000 
621,Aumenta Cupo,24,Buen Cliente,Dependiente,Soltero,44,9277,M,Arrienda, $ 46.385.000 
1620,Aumenta Cupo,24,Buen Cliente,Dependiente,Soltero,44,9277,M,Arrienda, $ 46.385.000 
774,Disminuye Cupo,36,Buen Cliente,Independiente,Casado,42,9271,M,Propia, $ 46.355.000 
1773,Disminuye Cupo,63,Buen Cliente,Independiente,Casado,42,9271,M,Propia, $ 46.355.000 
730,Mantiene Cupo,17,Mal Cliente,Dependiente,Casado,46,9157,M,Propia, $ 45.785.000 
1729,Mantiene Cupo,0,Mal Cliente,Dependiente,Casado,46,9157,M,Propia, $ 45.785.000 
572,Aumenta Cupo,36,Mal Cliente,Dependiente,Casado,46,9055,M,Propia, $ 45.275.000 
1571,Aumenta Cupo,36,Mal Cliente,Dependiente,Casado,46,9055,M,Propia, $ 45.275.000 
890,Mantiene Cupo,36,Buen Cliente,Dependiente,Soltero,39,9034,M,Propia, $ 45.170.000 
1889,Mantiene Cupo,36,Buen Cliente,Dependiente,Soltero,39,9034,M,Propia, $ 45.170.000 
987,Disminuye Cupo,14,Buen Cliente,Independiente,Casado,46,8978,M,Arrienda, $ 44.890.000 
1986,Disminuye Cupo,14,Buen Cliente,Independiente,Casado,46,8978,M,Arrienda, $ 44.890.000 
724,Aumenta Cupo,36,Mal Cliente,Dependiente,Casado,44,8947,M,Propia, $ 44.735.000 
1723,Aumenta Cupo,36,Mal Cliente,Dependiente,Casado,44,8947,M,Propia, $ 44.735.000 
153,Aumenta Cupo,37,Mal Cliente,Dependiente,Casado,43,8858,M,Propia, $ 44.290.000 
1152,Aumenta Cupo,2,Mal Cliente,Dependiente,Casado,43,8858,M,Propia, $ 44.290.000 
827,Mantiene Cupo,48,Mal Cliente,Independiente,Casado,58,8844,M,Propia, $ 44.220.000 
967,Aumenta Cupo,24,Buen Cliente,Independiente,Soltero,39,8648,M,Propia, $ 43.240.000 
1966,Aumenta Cupo,24,Buen Cliente,Independiente,Soltero,39,8648,M,Propia, $ 43.240.000 
224,Aumenta Cupo,27,Buen Cliente,Dependiente,Soltero,47,8613,M,Propia, $ 43.065.000 
1223,Aumenta Cupo,27,Buen Cliente,Dependiente,Soltero,47,8613,M,Propia, $ 43.065.000 
233,Aumenta Cupo,39,Mal Cliente,Dependiente,Casado,48,8588,M,Propia, $ 42.940.000 
1232,Aumenta Cupo,39,Mal Cliente,Dependiente,Casado,48,8588,M,Propia, $ 42.940.000 
1192,Mantiene Cupo,12,Mal Cliente,Independiente,Soltero,40,8487,F,Arrienda, $ 42.435.000 
193,Mantiene Cupo,58,Mal Cliente,Independiente,Soltero,40,8487,F,Arrienda, $ 42.435.000 
703,Disminuye Cupo,18,Buen Cliente,Dependiente,Soltero,41,8471,F,Arrienda, $ 42.355.000 
1702,Disminuye Cupo,18,Buen Cliente,Dependiente,Soltero,41,8471,F,Arrienda, $ 42.355.000 
781,Mantiene Cupo,30,Buen Cliente,Dependiente,Casado,39,8386,M,Propia, $ 41.930.000 
1780,Mantiene Cupo,30,Buen Cliente,Dependiente,Casado,39,8386,M,Propia, $ 41.930.000 
1556,Mantiene Cupo,34,Mal Cliente,Independiente,Casado,40,8358,F,Arrienda, $ 41.790.000 
557,Mantiene Cupo,5,Mal Cliente,Independiente,Casado,40,8358,F,Arrienda, $ 41.790.000 
701,Disminuye Cupo,36,Buen Cliente,Dependiente,Casado,42,8335,M,Propia, $ 41.675.000 
1700,Disminuye Cupo,36,Buen Cliente,Dependiente,Casado,42,8335,M,Propia, $ 41.675.000 
972,Mantiene Cupo,27,Mal Cliente,Independiente,Soltero,39,8318,F,Arrienda, $ 41.590.000 
1971,Mantiene Cupo,27,Mal Cliente,Independiente,Soltero,39,8318,F,Arrienda, $ 41.590.000 
601,Disminuye Cupo,36,Buen Cliente,Dependiente,Casado,45,8229,M,Propia, $ 41.145.000 
1600,Disminuye Cupo,62,Buen Cliente,Dependiente,Casado,45,8229,M,Propia, $ 41.145.000 
296,Aumenta Cupo,36,Mal Cliente,Dependiente,Casado,60,8133,F,Arrienda, $ 40.665.000 
1295,Aumenta Cupo,36,Mal Cliente,Dependiente,Casado,60,8133,F,Arrienda, $ 40.665.000 
940,Mantiene Cupo,36,Buen Cliente,Independiente,Casado,54,8086,M,Propia, $ 40.430.000 
1939,Mantiene Cupo,36,Buen Cliente,Independiente,Casado,54,8086,M,Propia, $ 40.430.000 
183,Disminuye Cupo,30,Mal Cliente,Independiente,Casado,56,8072,M,Propia, $ 40.360.000 
1182,Disminuye Cupo,30,Mal Cliente,Independiente,Casado,56,8072,M,Propia, $ 40.360.000 
888,Disminuye Cupo,36,Buen Cliente,Dependiente,Casado,38,8065,F,Arrienda, $ 40.325.000 
1887,Disminuye Cupo,36,Buen Cliente,Dependiente,Casado,38,8065,F,Arrienda, $ 40.325.000 
851,Mantiene Cupo,45,Buen Cliente,Dependiente,Casado,52,8031,M,Propia, $ 40.155.000 
833,Aumenta Cupo,36,Buen Cliente,Independiente,Soltero,36,7980,M,Propia, $ 39.900.000 
1832,Aumenta Cupo,36,Buen Cliente,Independiente,Soltero,36,7980,M,Propia, $ 39.900.000 
573,Mantiene Cupo,26,Buen Cliente,Dependiente,Casado,59,7966,M,Propia, $ 39.830.000 
1572,Mantiene Cupo,26,Buen Cliente,Dependiente,Casado,59,7966,M,Propia, $ 39.830.000 
632,Disminuye Cupo,42,Mal Cliente,Dependiente,Soltero,53,7882,M,Propia, $ 39.410.000 
1631,Disminuye Cupo,61,Mal Cliente,Dependiente,Soltero,53,7882,M,Propia, $ 39.410.000 
585,Disminuye Cupo,12,Buen Cliente,Dependiente,Soltero,38,7865,M,Propia, $ 39.325.000 
1584,Disminuye Cupo,12,Buen Cliente,Dependiente,Soltero,38,7865,M,Propia, $ 39.325.000 
872,Aumenta Cupo,36,Buen Cliente,Independiente,Casado,59,7855,F,Arrienda, $ 39.275.000 
1871,Aumenta Cupo,36,Buen Cliente,Independiente,Casado,59,7855,F,Arrienda, $ 39.275.000 
202,Aumenta Cupo,28,Mal Cliente,Dependiente,Casado,54,7824,M,Propia, $ 39.120.000 
1201,Aumenta Cupo,28,Mal Cliente,Dependiente,Casado,54,7824,M,Propia, $ 39.120.000 
505,Aumenta Cupo,24,Buen Cliente,Dependiente,Soltero,58,7814,M,Propia, $ 39.070.000 
1504,Aumenta Cupo,24,Buen Cliente,Dependiente,Soltero,58,7814,M,Propia, $ 39.070.000 
883,Disminuye Cupo,48,Buen Cliente,Independiente,Casado,38,7763,M,Propia, $ 38.815.000 
1882,Disminuye Cupo,46,Buen Cliente,Independiente,Casado,38,7763,M,Propia, $ 38.815.000 
373,Mantiene Cupo,24,Buen Cliente,Dependiente,Soltero,36,7758,F,Arrienda, $ 38.790.000 
1372,Mantiene Cupo,24,Buen Cliente,Dependiente,Soltero,36,7758,F,Arrienda, $ 38.790.000 
204,Disminuye Cupo,24,Buen Cliente,Dependiente,Soltero,53,7721,F,Arrienda, $ 38.605.000 
1203,Disminuye Cupo,24,Buen Cliente,Dependiente,Soltero,53,7721,F,Arrienda, $ 38.605.000 
709,Disminuye Cupo,53,Mal Cliente,Independiente,Casado,59,7685,F,Arrienda, $ 38.425.000 
1708,Disminuye Cupo,48,Mal Cliente,Independiente,Casado,59,7685,F,Arrienda, $ 38.425.000 
272,Aumenta Cupo,36,Buen Cliente,Dependiente,Casado,58,7678,F,Arrienda, $ 38.390.000 
1271,Aumenta Cupo,36,Buen Cliente,Dependiente,Casado,58,7678,F,Arrienda, $ 38.390.000 
353,Aumenta Cupo,16,Buen Cliente,Independiente,Soltero,60,7629,M,Arrienda, $ 38.145.000 
1352,Aumenta Cupo,1,Buen Cliente,Independiente,Soltero,60,7629,M,Arrienda, $ 38.145.000 
744,Aumenta Cupo,30,Buen Cliente,Dependiente,Soltero,33,7596,M,Propia, $ 37.980.000 
1743,Aumenta Cupo,30,Buen Cliente,Dependiente,Soltero,33,7596,M,Propia, $ 37.980.000 
14,Mantiene Cupo,30,Mal Cliente,Independiente,Soltero,34,7582,M,Propia, $ 37.910.000 
1013,Mantiene Cupo,4,Mal Cliente,Independiente,Soltero,34,7582,M,Propia, $ 37.910.000 
993,Disminuye Cupo,18,Buen Cliente,Dependiente,Soltero,36,7511,M,Propia, $ 37.555.000 
1992,Disminuye Cupo,18,Buen Cliente,Dependiente,Soltero,36,7511,M,Propia, $ 37.555.000 
948,Aumenta Cupo,30,Mal Cliente,Dependiente,Soltero,38,7485,F,Arrienda, $ 37.425.000 
1947,Aumenta Cupo,30,Mal Cliente,Dependiente,Soltero,38,7485,F,Arrienda, $ 37.425.000 
1716,Disminuye Cupo,4,Mal Cliente,Dependiente,Soltero,37,7476,M,Propia, $ 37.380.000 
717,Disminuye Cupo,1,Mal Cliente,Dependiente,Soltero,37,7476,M,Propia, $ 37.380.000 
465,Mantiene Cupo,12,Buen Cliente,Independiente,Casado,50,7472,F,Arrienda, $ 37.360.000 
1464,Mantiene Cupo,12,Buen Cliente,Independiente,Casado,50,7472,F,Arrienda, $ 37.360.000 
104,Mantiene Cupo,36,Buen Cliente,Independiente,Casado,57,7432,F,Arrienda, $ 37.160.000 
1103,Mantiene Cupo,36,Buen Cliente,Independiente,Casado,57,7432,F,Arrienda, $ 37.160.000 
1455,Mantiene Cupo,60,Mal Cliente,Dependiente,Soltero,35,7418,M,Propia, $ 37.090.000 
456,Mantiene Cupo,3,Mal Cliente,Dependiente,Soltero,35,7418,M,Propia, $ 37.090.000 
473,Aumenta Cupo,36,Buen Cliente,Independiente,Soltero,65,7409,M,Propia, $ 37.045.000 
1472,Aumenta Cupo,36,Buen Cliente,Independiente,Soltero,65,7409,M,Propia, $ 37.045.000 
1562,Mantiene Cupo,17,Buen Cliente,Independiente,Casado,58,7408,F,Arrienda, $ 37.040.000 
563,Mantiene Cupo,46,Buen Cliente,Independiente,Casado,58,7408,F,Arrienda, $ 37.040.000 
1387,Aumenta Cupo,24,Buen Cliente,Independiente,Soltero,36,7393,M,Propia, $ 36.965.000 
388,Aumenta Cupo,0,Buen Cliente,Independiente,Soltero,36,7393,M,Propia, $ 36.965.000 
462,Mantiene Cupo,18,Buen Cliente,Dependiente,Soltero,38,7374,M,Propia, $ 36.870.000 
1461,Mantiene Cupo,18,Buen Cliente,Dependiente,Soltero,38,7374,M,Propia, $ 36.870.000 
453,Mantiene Cupo,10,Buen Cliente,Independiente,Soltero,53,7308,M,Propia, $ 36.540.000 
1452,Mantiene Cupo,10,Buen Cliente,Independiente,Soltero,53,7308,M,Propia, $ 36.540.000 
812,Disminuye Cupo,60,Buen Cliente,Independiente,Soltero,52,7297,M,Propia, $ 36.485.000 
1811,Disminuye Cupo,60,Buen Cliente,Independiente,Soltero,52,7297,M,Propia, $ 36.485.000 
196,Aumenta Cupo,33,Buen Cliente,Dependiente,Casado,57,7253,M,Propia, $ 36.265.000 
1195,Aumenta Cupo,33,Buen Cliente,Dependiente,Casado,57,7253,M,Propia, $ 36.265.000 
648,Aumenta Cupo,22,Mal Cliente,Dependiente,Casado,53,7238,M,Propia, $ 36.190.000 
1647,Aumenta Cupo,12,Mal Cliente,Dependiente,Casado,53,7238,M,Propia, $ 36.190.000 
1019,Aumenta Cupo,11,Buen Cliente,Independiente,Casado,54,7228,M,Propia, $ 36.140.000 
20,Aumenta Cupo,2,Buen Cliente,Independiente,Casado,54,7228,M,Propia, $ 36.140.000 
580,Disminuye Cupo,42,Buen Cliente,Dependiente,Casado,36,7174,F,Arrienda, $ 35.870.000 
1579,Disminuye Cupo,42,Buen Cliente,Dependiente,Casado,36,7174,F,Arrienda, $ 35.870.000 
410,Aumenta Cupo,42,Buen Cliente,Dependiente,Soltero,49,7166,F,Propia, $ 35.830.000 
1409,Aumenta Cupo,42,Buen Cliente,Dependiente,Soltero,49,7166,F,Propia, $ 35.830.000 
520,Aumenta Cupo,36,Buen Cliente,Dependiente,Soltero,29,7127,F,Arrienda, $ 35.635.000 
1519,Aumenta Cupo,36,Buen Cliente,Dependiente,Soltero,29,7127,F,Arrienda, $ 35.635.000 
910,Disminuye Cupo,52,Mal Cliente,Dependiente,Casado,56,7119,M,Propia, $ 35.595.000 
1909,Disminuye Cupo,61,Mal Cliente,Dependiente,Casado,56,7119,M,Propia, $ 35.595.000 
683,Mantiene Cupo,20,Buen Cliente,Dependiente,Casado,34,7057,M,Propia, $ 35.285.000 
1682,Mantiene Cupo,20,Buen Cliente,Dependiente,Casado,34,7057,M,Propia, $ 35.285.000 
985,Disminuye Cupo,46,Buen Cliente,Dependiente,Casado,33,6999,F,Propia, $ 34.995.000 
1984,Disminuye Cupo,45,Buen Cliente,Dependiente,Casado,33,6999,F,Propia, $ 34.995.000 
517,Mantiene Cupo,24,Buen Cliente,Independiente,Casado,42,6967,M,Propia, $ 34.835.000 
1516,Mantiene Cupo,24,Buen Cliente,Independiente,Casado,42,6967,M,Propia, $ 34.835.000 
575,Mantiene Cupo,36,Buen Cliente,Dependiente,Casado,50,6948,M,Propia, $ 34.740.000 
1574,Mantiene Cupo,36,Buen Cliente,Dependiente,Casado,50,6948,M,Propia, $ 34.740.000 
822,Disminuye Cupo,61,Buen Cliente,Dependiente,Casado,56,6887,M,Propia, $ 34.435.000 
793,Disminuye Cupo,24,Mal Cliente,Dependiente,Soltero,32,6872,M,Arrienda, $ 34.360.000 
1792,Disminuye Cupo,24,Mal Cliente,Dependiente,Soltero,32,6872,M,Arrienda, $ 34.360.000 
946,Mantiene Cupo,15,Mal Cliente,Independiente,Soltero,33,6850,M,Propia, $ 34.250.000 
1945,Mantiene Cupo,15,Mal Cliente,Independiente,Soltero,33,6850,M,Propia, $ 34.250.000 
508,Aumenta Cupo,24,Buen Cliente,Dependiente,Casado,29,6842,M,Propia, $ 34.210.000 
1507,Aumenta Cupo,24,Buen Cliente,Dependiente,Casado,29,6842,M,Propia, $ 34.210.000 
1807,Disminuye Cupo,60,Buen Cliente,Independiente,Casado,46,6836,M,Propia, $ 34.180.000 
808,Disminuye Cupo,30,Buen Cliente,Independiente,Casado,46,6836,M,Propia, $ 34.180.000 
197,Aumenta Cupo,6,Buen Cliente,Independiente,Casado,37,6761,M,Propia, $ 33.805.000 
1196,Aumenta Cupo,6,Buen Cliente,Independiente,Casado,37,6761,M,Propia, $ 33.805.000 
961,Aumenta Cupo,18,Buen Cliente,Independiente,Soltero,51,6761,M,Propia, $ 33.805.000 
1960,Aumenta Cupo,18,Buen Cliente,Independiente,Soltero,51,6761,M,Propia, $ 33.805.000 
878,Disminuye Cupo,48,Buen Cliente,Dependiente,Casado,60,6758,F,Arrienda, $ 33.790.000 
1877,Disminuye Cupo,48,Buen Cliente,Dependiente,Casado,60,6758,F,Arrienda, $ 33.790.000 
380,Aumenta Cupo,30,Mal Cliente,Dependiente,Casado,55,6742,M,Propia, $ 33.710.000 
1379,Aumenta Cupo,30,Mal Cliente,Dependiente,Casado,55,6742,M,Propia, $ 33.710.000 
1654,Mantiene Cupo,51,Mal Cliente,Independiente,Casado,52,6681,M,Propia, $ 33.405.000 
655,Mantiene Cupo,35,Mal Cliente,Independiente,Casado,52,6681,M,Propia, $ 33.405.000 
625,Disminuye Cupo,24,Buen Cliente,Dependiente,Casado,36,6615,M,Propia, $ 33.075.000 
1624,Disminuye Cupo,24,Buen Cliente,Dependiente,Casado,36,6615,M,Propia, $ 33.075.000 
33,Aumenta Cupo,36,Mal Cliente,Independiente,Casado,38,6614,M,Propia, $ 33.070.000 
1032,Aumenta Cupo,36,Mal Cliente,Independiente,Casado,38,6614,M,Propia, $ 33.070.000 
615,Disminuye Cupo,24,Buen Cliente,Dependiente,Casado,29,6579,M,Propia, $ 32.895.000 
1614,Disminuye Cupo,24,Buen Cliente,Dependiente,Casado,29,6579,M,Propia, $ 32.895.000 
371,Disminuye Cupo,24,Buen Cliente,Independiente,Soltero,55,6568,F,Propia, $ 32.840.000 
1370,Disminuye Cupo,24,Buen Cliente,Independiente,Soltero,55,6568,F,Propia, $ 32.840.000 
1885,Mantiene Cupo,45,Buen Cliente,Independiente,Casado,36,6560,M,Propia, $ 32.800.000 
886,Mantiene Cupo,0,Buen Cliente,Independiente,Casado,36,6560,M,Propia, $ 32.800.000 
732,Aumenta Cupo,13,Mal Cliente,Independiente,Casado,37,6527,M,Propia, $ 32.635.000 
1731,Aumenta Cupo,2,Mal Cliente,Independiente,Casado,37,6527,M,Propia, $ 32.635.000 
461,Mantiene Cupo,6,Buen Cliente,Dependiente,Soltero,61,6468,M,Arrienda, $ 32.340.000 
1460,Mantiene Cupo,0,Buen Cliente,Dependiente,Soltero,61,6468,M,Arrienda, $ 32.340.000 
999,Mantiene Cupo,12,Buen Cliente,Dependiente,Casado,54,6468,M,Propia, $ 32.340.000 
1998,Mantiene Cupo,12,Buen Cliente,Dependiente,Casado,54,6468,M,Propia, $ 32.340.000 
839,Aumenta Cupo,18,Mal Cliente,Independiente,Soltero,37,6458,M,Propia, $ 32.290.000 
